,State,District,Latitude,Longitude,District name,Population,Male,Female,Literate,Households_with_Internet,Literacy rate,sex ratio
0,Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,Adilabad,2741239,1369597,1371642,1483347,5512,54.112282803506005,1001.4931399528474
1,Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,Anantapur,4081148,2064495,2016653,2310960,8606,56.62524368143473,976.8262940816035
2,Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,Chittoor,4174064,2090204,2083860,2667878,13763,63.915598802509976,996.9648895514505
3,Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,East Godavari,5154296,2569688,2584608,3288577,22411,63.80264152466215,1005.8061523422299
4,Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,Guntur,4887813,2440521,2447292,2960441,19383,60.56780404651324,1002.7744075957552
5,Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,Hyderabad,3943323,2018575,1924748,2892155,149034,73.34309160066269,953.5181997200996
6,Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,Karimnagar,3776269,1880800,1895469,2206829,8831,58.43940143035361,1007.7993407060825
7,Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,Khammam,2797370,1390988,1406382,1630234,8628,58.27738196949277,1011.0669538486313
8,Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,Krishna,4517398,2267375,2250023,3009718,30438,66.62503503122815,992.3470974144109
9,Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,Kurnool,4053463,2039227,2014236,2127161,10081,52.47762222080231,987.7448660693489
10,Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,Mahbubnagar,4053028,2050386,2002642,1940646,6153,47.881386459703705,976.7146283675366
11,Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,Medak,3033288,1523030,1510258,1637137,8635,53.972356070376435,991.6140850803989
12,Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,Nalgonda,3488809,1759772,1729037,2001019,7715,57.35536109887357,982.5346692639729
13,Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,Nizamabad,2551335,1250641,1300694,1389810,5261,54.47383428675576,1040.0218767815863
14,Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,Prakasam,3397448,1714764,1682684,1904435,6151,56.054868242280676,981.2918862304084
15,Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,Srikakulam,2703114,1341738,1361376,1495381,3988,55.32067829917643,1014.6362404582712
16,Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,Vizianagaram,2344474,1161477,1182997,1238388,4453,52.82157106455435,1018.5281327137774
17,Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,Warangal,3512576,1759281,1753295,2065023,12952,58.78941836418628,996.5974736270101
18,Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,West Godavari,3936966,1964918,1972048,2652389,12050,67.37139716218022,1003.6286501523218
19,Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,Changlang,148226,76948,71278,73174,170,49.3665079000985,926.3138743047252
20,Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,East Kameng,78690,38775,39915,38449,57,48.861354682933026,1029.4003868471953
21,Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,East Siang,99214,50116,49098,62576,450,63.07174390710988,979.6871258679863
22,Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,Kurung Kumey,92076,45318,46758,36606,95,39.756288283591815,1031.7754534622004
23,Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,Lohit,145726,76221,69505,83062,312,56.998751080795465,911.887799950145
24,Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,Lower Dibang Valley,54080,28053,26027,31849,207,58.89238165680474,927.7795601183474
25,Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,Lower Subansiri,83030,41843,41187,54057,381,65.1053835962905,984.3223478240088
26,Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,Papum Pare,176573,89182,87391,121048,2477,68.55408244748631,979.9174721356328
27,Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,Tawang,49977,29151,20826,26073,96,52.169998199171616,714.4180302562519
28,Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,Tirap,111975,57604,54371,47974,98,42.843491850859564,943.8754253176862
29,Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,Upper Siang,35320,18699,16621,18195,97,51.514722536806346,888.8710626236697
30,Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,Upper Subansiri,83448,41758,41690,45278,139,54.25893969897421,998.371569519613
31,Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,West Kameng,83947,46155,37792,48492,202,57.76501840446948,818.8061965117539
32,Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,West Siang,112274,58168,54106,64746,303,57.66784829969539,930.1677898500894
33,Assam,Barpeta,26.427872264631056,90.97912010178116,Barpeta,1693622,867004,826618,897058,2078,52.9668367557814,953.4189000281428
34,Assam,Bongaigaon,26.45012521994133,90.6734296187684,Bongaigaon,738804,375818,362986,434078,2523,58.75414859692151,965.8558131861699
35,Assam,Cachar,24.815570668693017,92.86849650455927,Cachar,1736617,886284,850333,1174128,5316,67.61007176596797,959.4362529392384
36,Assam,Darrang,26.58463215962442,92.04141338028155,Darrang,928500,475273,453227,487039,1166,52.4543887991384,953.6140281480328
37,Assam,Dhemaji,27.586533438485816,94.71336908517353,Dhemaji,686133,351249,334884,423028,1192,61.65393589872517,953.4091200259645
38,Assam,Dibrugarh,27.30612284482757,95.0998282327587,Dibrugarh,1326335,676434,649901,884531,8817,66.68986342062902,960.7751827968434
39,Assam,Goalpara,26.017277777777807,90.59869891598912,Goalpara,1008183,513292,494891,563577,1364,55.90026810608788,964.1510095618089
40,Assam,Golaghat,26.377219709794485,93.82583397823468,Golaghat,1066888,543161,523727,721764,3073,67.6513373475004,964.2205533902471
41,Assam,Hailakandi,24.457496089385486,92.59154664804475,Hailakandi,659296,337890,321406,407366,1211,61.78802844245984,951.2148924206102
42,Assam,Jorhat,26.76244824016563,94.30197722567289,Jorhat,1092256,556805,535451,794929,5651,72.7786343128351,961.6490512836631
43,Assam,Kamrup,26.170939452054807,91.58863273972592,Kamrup,1517542,778461,739081,995319,3109,65.58757517090137,949.4130084872588
44,Assam,Karbi Anglong,26.08966454598031,93.11536570271832,Karbi Anglong,956313,490167,466146,557214,1923,58.26690633715113,950.9942529790867
